customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000GxWxxAAF,Wheeler Land & Livestock LLC,12/14/2018 17:08,SB Plus,V1000,54843.79786,1,84.6203629,8.089186458,a0fd000000HWLPQAA5
1,001d000000GxWyBAAV,"J&S Dairy, LLC",12/19/2018 15:40,OneTrak,T7187,53758.79518,2,122.0262419,43.06346369, 
1,001d000000GxWyLAAV,Osterkamp Dairy West,12/19/2018 16:12,OneTrak,T7085,53850,2,61.36255383,21.30006233, 
1,001d000000GxWylAAF,Boer Dairy,12/19/2018 5:07,OneTrak,T7045,54549.50966,1,54.39526139,1.603599188,a0fd000000Ey0SSAAZ
1,001d000000GxWzDAAV,Faria Dumas Dairy,12/8/2018 16:55,Sweet Bran,SB60,54595.36269,1,83.60530059,19.07667602,a0fd000000Ey0SsAAJ
1,001d000000GxWzDAAV,Faria Dumas Dairy,12/19/2018 13:38,OneTrak,T7995,52776,2,71.90855279,28.63957369, 
1,001d000000GxWzEAAV,G-2 Producers - East,12/19/2018 2:18,OneTrak,T7190,53197.6,2,92.41253848,54.16142598, 
1,001d000000GxWzFAAV,G-2 Producers-Harvest Dairy,12/19/2018 8:17,OneTrak,T7190,53267.14286,1,84.98363484,25.51918265, 
1,001d000000GxWzIAAV,Faria Etter Dairy,12/18/2018 15:15,Sweet Bran,SB60,54506.52632,1,61.00264756,18.82142693,a0fd000000Ey0StAAJ
1,001d000000GxWzOAAV,Kansas State Univ-Beef Stocker,11/20/2018 15:20,Sweet Bran,SB60,51530.81081,1,26.27316762,0.872892042,a0fd000000JPcVYAA1
1,001d000000GxWzPAAV,Kansas State University-College Ave,12/17/2018 1:51,Sweet Bran,SB60,52081.17117,2,28.31694498,2.779790958,a0fd000000JMZP9AAP
1,001d000000GxWzQAAV,Kansas State Univ-Dairy Unit,12/15/2018 14:48,Sweet Bran,SB60,51710.23697,1,44.42390234,3.641252829,a0fd000000JdKXeAAN
1,001d000000GxWzSAAV,"Lane, David",12/17/2018 12:17,OneTrak,T6125,51665,1,27.1156709,3.039612313, 
1,001d000000GxWzdAAF,Lost Trail Dairy LLC - #1,12/19/2018 3:10,OneTrak,T7065,51900.16438,1,110.4630074,56.70395025,a0fd000000IdeAxAAJ
1,001d000000GxWzeAAF,Lost Trail Dairy LLC - #2,12/19/2018 19:23,OneTrak,T7065,51776.83616,2,113.7962767,46.56706807,a0fd000000IdeB7AAJ
1,001d000000GxWzfAAF,"MasCow Dairy, LLC",12/19/2018 16:36,OneTrak,T7065,48265.51724,2,123.7575825,57.24680557, 
