plant_serves_customer,customer_name__c,non_medicated_yard__c,gps_customer_check_in_location__latitude__s,gps_customer_check_in_location__longitude__s,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,prod_delivery_name,feed_day_start__c,feed_day_end__c,inventory_maximum__c,inventory_minimum__c,inventory_target__c,unique_customer_id,product_delivery_location__c_id,,gps_lat
1,Northeast Nebraska Feeders,FALSE,42.4208,-97.3264,Sweet Bran,SB60,119,45,Blair,PDL-0310,700,1700,60,5,46,001d000000GxWswAAF,a0fd000000F1SazAAF,,
1,Oklahoma State University,TRUE,36.1354,-97.1138,Sweet Bran,SB60,340,55,Dalhart,PDL-0237,600,1800,55,6,42,001d000000IRIHPAA5,a0fd000000Ey0TrAAJ,,
1,Muller Farms Inc.,FALSE,41.6816,-96.6302,SB Plus,V5090,40,45,Blair,PDL-0730,700,1700,60,15,45,001d000000GxWohAAF,a0fd000000OPKo9AAH,,
1,"Weiler, Steve",FALSE,41.9389,-96.7097,Sweet Bran,SB60,54,45,Blair,PDL-0285,700,1700,45,3,36,001d000000GxWquAAF,a0fd000000Ey0UdAAJ,,
1,Thomsen Farms,FALSE,42.1636,-96.8544,Sweet Bran,SB60,74,45,Blair,PDL-0272,700,1700,60,2,45,001d000000GxWrxAAF,a0fd000000Ey0UQAAZ,,
1,Quien Sabe Feeders,FALSE,34.7589,-101.8386,SB Plus,V0450,86,55,Bovina,PDL-0742,600,1800,280,129,176,001d000000JTa0HAAT,a0fd000000OPeDkAAL,,
1,Quality Beef Producers LLP,FALSE,35.2082,-102.1834,SB Plus,V0450,72,55,Bovina,PDL-0744,600,1800,220,82,105,001d000000GxWwkAAF,a0fd000000OQcIBAA1,,
1,"Spenner, Ray",FALSE,41.7611,-96.848,Sweet Bran,SB60,53,45,Blair,PDL-0433,700,1500,60,2,45,001d000000GxWpVAAV,a0fd000000HWLQxAAP,,
1,Ver Steegh Bros Farm Partnersh,FALSE,41.2058,-92.7079,Sweet Bran,SB60,251,45,Blair,PDL-0284,700,1700,60,8,45,001d000000GxWq6AAF,a0fd000000Ey0UcAAJ,,
1,HS Farms Ltd,FALSE,42.068,-94.8531,SB Plus,V5042,89,45,Blair,PDL-0593,500,1500,50,4,39,001d000000GxWpCAAV,a0fd000000Joqp2AAB,,
1,Adcock Family Ltd Partnership,FALSE,36.5369,-101.7267,SB Plus,V0055,58,55,Dalhart,PDL-0747,600,1600,100,24,60,001d000000GxWvjAAF,a0fd000000Ormb5AAB,,
1,Porter Cattle Co.,FALSE,38.6408,-95.9908,Sweet Bran,SB60,248,45,Blair,PDL-0247,700,1700,56,3,50,001d000000GxWpfAAF,a0fd000000Ey0U1AAJ,,
1,Adcock Family Ltd Partnership -Miami,FALSE,35.7151,-100.8325,SB Plus,V0055,130,55,Dalhart,PDL-0748,600,1600,75,41,55,001d000000GxWviAAF,a0fd000000OrmbhAAB,,
1,Gall Brothers Feedlot,FALSE,41.7345,-97.0958,SB Plus,V5027,70,45,Blair,PDL-0746,700,1600,60,6,15,001d000000GxWsiAAF,a0fd000000OpuUaAAJ,,
1,JDR Farms Inc - Krusemark,FALSE,42.12,-96.8959,Sweet Bran,SB60,75,45,Blair,PDL-0200,700,1700,70,31,50,001d000000GxWqVAAV,a0fd000000Ey0TGAAZ,,
1,Texas Tech University,TRUE,33.7283,-101.7268,Sweet Bran,SB60,105,55,Bovina,PDL-0557,600,1800,50,3,40,001d000000GxX0FAAV,a0fd000000JdWhVAAV,,
1,Buessing Dairy,FALSE,39.857,-96.2736,OneTrak,T6020,139,45,Blair,PDL-0457,500,1400,50,5,36,001d000000GxWrfAAF,a0fd000000HWLUsAAP,,
1,Koenen Dairy,FALSE,43.1286,-96.3775,OneTrak,T6097,129,45,Blair,PDL-0759,500,1400,90,20,63,001d000000JTa4aAAD,a0fd000000P4dL8AAJ,,
1,"Coyote Lake Feedyard, Inc.",FALSE,34.1286,-102.9047,SB Plus,V0442,35,55,Bovina,PDL-0761,600,1600,120,45,90,001d000000GxWvRAAV,a0fd000000P4l6CAAR,,
1,Tejas Feeders West,FALSE,35.5491,-100.7522,RAMP,R3000,156,55,Bovina,PDL-0762,500,1600,112,45,95,001d000002AJDz2AAH,a0fd000000P6NxCAAV,,
1,"Spenner, Ed",FALSE,41.7615,-96.8479,Sweet Bran,SB60,53,45,Blair,PDL-0431,700,1500,45,2,38,001d000000GxWo8AAF,a0fd000000HWLQ4AAP,,
1,Cactus Feedyard Early Settlers Farms LLC,FALSE,36.0806,-102.0255,RAMP,R4000,33,55,Dalhart,PDL-0766,600,1800,50,10,15,001d000002AKdMxAAL,a0fd000000POBS3AAP,,
1,M Farm Inc,FALSE,41.177,-97.6076,Sweet Bran,SB60,104,45,Blair,PDL-0505,500,1500,70,13,53,001d000001wseX3AAI,a0fd000000IwyA0AAJ,,
1,Van Ess Dairy LLC,FALSE,43.2158,-95.6022,OneTrak,T6042,150,45,Blair,PDL-0680,600,1800,140,57,123,001d000000GxX33AAF,a0fd000000MUmuGAAT,,
1,Friona Feedyard,FALSE,34.6388,-102.636,SB Plus,V0395,21,55,Bovina,PDL-0183,500,1500,400,250,331,001d000000GxWu2AAF,a0fd000000Ey0SzAAJ,,
1,UNL - North Platte - WCREC,TRUE, , ,Sweet Bran,SB60,287,45,Blair,PDL-0601,600,1800,50,30,10,001d000000IQnVDAA1,a0fd000000LznBgAAJ,,
1,Wilhite Cattle,FALSE,34.8492,-102.3288,RAMP,R4000,45,55,Bovina,PDL-0571,600,1400,55,27,45,001d000001zk65kAAA,a0fd000000JNmHwAAL,,
1,Lost Trail Dairy LLC - #1,FALSE,36.645,-102.6147,OneTrak,T7065,50,55,Dalhart,PDL-0492,400,1500,135,57,101,001d000000GxWzdAAF,a0fd000000IdeAxAAJ,,
1,Lost Trail Dairy LLC - #2,FALSE,36.666,-102.6164,OneTrak,T7065,49,55,Dalhart,PDL-0493,400,1500,115,47,86,001d000000GxWzeAAF,a0fd000000IdeB7AAJ,,
1,Roorda Dairy LLC,FALSE,42.9831,-95.7757,OneTrak,T6115,135,45,Blair,PDL-0834,500,1400,120,51,90,0010V00002IY3iRQAT,a0f0V00000QbMnOQAV,,
1,Timberview Farms,FALSE,39.9417,-95.9337,OneTrak,T6135,133,45,Blair,PDL-0855,500,1300,45,6,35,001d000000GxX24AAF,a0f0V00000QcUsrQAF,,
1,Morning Star Dairy LLC,FALSE,36.036,-102.6679,OneTrak,T7995,10,55,Dalhart,PDL-0822,500,1100,350,155,240,001d000000GxX0gAAF,a0f0V00000PRWcUQAX,,
1,"Green Plains Cattle Company, LLC",FALSE,35.0348,-102.4807,SB Plus,V0485,57,55,Bovina,PDL-0770,600,1600,168,74,110,0010V00002C33JzQAJ,a0f0V00000PP0BYQA1,,
1,Brouwer Dairy,FALSE,34.2044,-103.4394,OneTrak,T7125,43,55,Bovina,PDL-0887,500,1400,125,42,74,001d000000GxWwfAAF,a0f0V00000QefLAQAZ,,
1,Faria Southside 2,FALSE,34.437,-102.1997,Sweet Bran,SB60,45,55,Bovina,PDL-0825,500,1400,120,47,80,0010V00002DFN9hQAH,a0f0V00000QfH8tQAF,,
